network,module,enrichment,correlation
signum0.0861_minSize10,blue,2.73117672437893e-79,0.87579085106352
signum0.0861_minSize10,brown,0.292731965660936,-0.0266519109833825
signum0.0861_minSize10,turquoise,1,-0.00463752168708179
signum0.0861_minSize10,magenta,1,0.0129468203166586
signum0.0861_minSize10,red,0.245210946916497,0.615397988643193
signum0.0861_minSize10,cyan,1,0.0518463357049181
signum0.0861_minSize10,darkgreen,1,-0.182144378832247
signum0.0861_minSize10,royalblue,1,-0.0560697423769555
signum0.0861_minSize10,black,1,-0.228653149588707
signum0.0861_minSize10,purple,1,0.0354196196807836
signum0.0861_minSize10,darkred,1,0.544768372437006
signum0.0861_minSize10,midnightblue,1,0.0199555044887312
signum0.0861_minSize10,pink,1,-0.21005809882207
signum0.0861_minSize10,salmon,1,-0.0571559679512616
signum0.0861_minSize10,darkturquoise,1.52390683246625e-06,0.643242068175131
signum0.0861_minSize10,lightyellow,1,-0.144614695269196
signum0.0861_minSize10,tan,1,0.224749866130405
signum0.0861_minSize10,darkgrey,1,0.0534673064230375
signum0.0861_minSize10,greenyellow,1.61118846436655e-24,0.800156714209075
signum0.0861_minSize10,green,1,-0.139952611501271
signum0.0861_minSize10,lightgreen,1,-0.123905703443794
signum0.0861_minSize10,grey60,1,-0.149124935937226
signum0.0861_minSize10,yellow,0.2111256537183,0.0018795955031817
signum0.0861_minSize10,lightcyan,3.55887401112786e-11,0.681487323737148
signum0.0861_minSize12,turquoise,2.16024622409606e-86,0.87579085106352
signum0.0861_minSize12,brown,0.107088499028823,-0.0266519109833825
signum0.0861_minSize12,blue,1,0.0200281001171601
signum0.0861_minSize12,magenta,1,0.0129468203166586
signum0.0861_minSize12,red,0.305229804130958,0.615397988643193
signum0.0861_minSize12,cyan,1,0.0518463357049181
signum0.0861_minSize12,black,1,-0.228653149588707
signum0.0861_minSize12,purple,1,0.0354196196807836
signum0.0861_minSize12,pink,1,-0.21005809882207
signum0.0861_minSize12,salmon,1,-0.0571559679512616
signum0.0861_minSize12,tan,1,0.224749866130405
signum0.0861_minSize12,green,1,-0.139952611501271
signum0.0861_minSize12,greenyellow,6.32141564941368e-30,0.800156714209075
signum0.0861_minSize12,yellow,0.000192052513227299,0.0018795955031817
signum0.0861_minSize15,turquoise,4.40275996869059e-105,0.87579085106352
signum0.0861_minSize15,brown,0.115209457656364,-0.0266519109833825
signum0.0861_minSize15,blue,1,0.0200281001171601
signum0.0861_minSize15,red,0.00761969868732641,0.615397988643193
signum0.0861_minSize15,black,1,-0.228653149588707
signum0.0861_minSize15,pink,1,-0.21005809882207
signum0.0861_minSize15,green,1,-0.139952611501271
signum0.0861_minSize15,yellow,0.000206851518093998,0.0018795955031817
signum0.0861_minSize20,turquoise,9.03978688616617e-106,0.87579085106352
signum0.0861_minSize20,blue,0.112865654382354,-0.0266519109833825
signum0.0861_minSize20,brown,1,0.044215845986347
signum0.0861_minSize20,yellow,0.000206851518093998,0.0018795955031817
signum0.0861_minSize8,blue,2.7649221931819e-76,0.87579085106352
signum0.0861_minSize8,brown,0.430643647522656,-0.0266519109833825
signum0.0861_minSize8,orange,1,0.387743020251035
signum0.0861_minSize8,skyblue3,1,-0.0577012120172676
signum0.0861_minSize8,plum1,1,-0.0848642731669429
signum0.0861_minSize8,turquoise,1,-0.00463752168708179
signum0.0861_minSize8,orangered4,1,0.172675381366529
signum0.0861_minSize8,mediumpurple3,1,0.119051313719758
signum0.0861_minSize8,lightsteelblue1,1,-0.0664017903109383
signum0.0861_minSize8,lightcyan1,1,-0.0682173467133591
signum0.0861_minSize8,ivory,1,-0.0862205981194654
signum0.0861_minSize8,darkorange,1,0.159442365699669
signum0.0861_minSize8,floralwhite,1,-0.153803737750268
signum0.0861_minSize8,darkorange2,1,0.0923752592940724
signum0.0861_minSize8,brown4,1,-0.057744649123698
signum0.0861_minSize8,bisque4,1,0.224835008723476
signum0.0861_minSize8,darkslateblue,1,-8.08062376700946e-05
signum0.0861_minSize8,red,1,0.615397988643193
signum0.0861_minSize8,plum2,1,-0.0907231614755924
signum0.0861_minSize8,thistle2,1,-0.124490830569255
signum0.0861_minSize8,thistle1,1,-0.0115596885755604
signum0.0861_minSize8,salmon4,1,-0.0783925637163073
signum0.0861_minSize8,palevioletred3,1,-0.0230795357753725
signum0.0861_minSize8,darkgreen,1,-0.182144378832247
signum0.0861_minSize8,navajowhite2,1,0.261767333717163
signum0.0861_minSize8,maroon,1,-0.00639916014938519
signum0.0861_minSize8,lightpink4,1,0.144303212513635
signum0.0861_minSize8,lavenderblush3,1,-0.0459560343494399
signum0.0861_minSize8,honeydew1,1,0.0917541111491096
signum0.0861_minSize8,darkseagreen4,1,-0.0481516059879984
signum0.0861_minSize8,coral1,1,-0.118112776394528
signum0.0861_minSize8,antiquewhite4,1,0.126634114127302
signum0.0861_minSize8,lightskyblue4,1,0.096519465341976
signum0.0861_minSize8,royalblue,1,-0.0560697423769555
signum0.0861_minSize8,coral2,1,-0.0207753699226586
