"Gene","Endo.t","Endo.kME.brown"
"A1BG",-30.997779077384,0.0112813868660971
"A1BG-AS1",-12.0781662512943,0.150104226679108
"A1CF",-4.28454704256125,-0.118162777914575
"A2M",107.994704787738,0.818936501308597
"A2M-AS1",2.41530417823671,0.0175138946523654
"A2ML1",-34.0261969529291,-0.0613036814448937
"A2ML1-AS1",-2.16087284546312,-0.0914483627534156
"A2MP1",18.6404129863752,0.243399322381495
"A3GALT2",-8.01585620106773,-0.0600563141745899
"A4GALT",24.3631437358978,0.434064074802913
"AAAS",-11.5280397407919,0.158226228303201
"AACS",-51.212109759908,-0.048575049689788
"AACSP1",-16.3755990329176,-0.0855569239059633
"AADACL2-AS1",-11.9609584734999,0.0323530066851446
"AADAT",-24.8059350779876,0.0649112773467028
"AAGAB",-27.1527690829599,-0.0936132603508228
"AAMDC",1.22374708158468,-0.0131293962702581
"AAMP",-9.99893955343405,0.00353271082385186
"AANAT",-31.2036445560637,-0.00271810880816753
"AAR2",0.851210108010499,0.211353550190944
"AARD",-3.78179059769585,-0.0574327328057888
"AARS1",-27.6014425730141,-0.0218852536010649
"AARS2",-5.49143481461054,-0.17393993650904
"AASDH",-27.9156649093484,-0.105610372564315
"AASDHPPT",-27.9455844961135,0.06011111041942
"AASS",8.33812013339423,0.188854382322357
"AATBC",-24.7639200945672,-0.00969566625116291
"AATF",-4.1349950784778,0.210360374207899
"AATK",-39.0738770300182,0.125312593795845
"AB015752.1",-20.4073059047655,-0.0959692522762673
"ABALON",-24.8856645366174,0.163880625771065
"ABAT",-61.8634862195359,0.0129351701858137
"ABBA01000935.2",-8.22375252218927,0.0413635148277949
"ABCA1",16.0313561574056,0.0378011427062007
"ABCA10",-22.2467032783789,0.00874789170237317
"ABCA11P",0.260394936545473,0.0967577565289636
"ABCA12",-10.3969040706094,0.149578626580573
"ABCA13",-10.5170917704367,0.0105233905933969
"ABCA17P",-30.5264212000471,0.0572717886980602
"ABCA2",-23.6986855292894,-0.160539987894593
"ABCA3",-41.3628711032287,-0.0868652117413893
"ABCA4",2.60563421649148,0.210907613169284
"ABCA5",-41.476287390551,-0.0567561900683984
"ABCA6",-18.6205309656082,0.0846706920488739
"ABCA7",-27.5535445282723,-0.0924620551769789
"ABCA8",15.7651995802929,0.267129861950807
"ABCA9",24.1954909302655,0.183072553176368
"ABCA9-AS1",7.0487750197949,-0.0580219797144344
"ABCB1",100.972189146007,0.840906735384633
"ABCB10",-13.9556210761845,-0.0367033918728691
"ABCB11",-6.44604057362619,0.0659655403285862
"ABCB4",10.3750954702742,0.194215149451704
"ABCB5",-13.0624956346485,-0.0288982480280457
"ABCB7",-2.24329807482514,0.222144916107599
"ABCB8",-31.5137424364624,0.0267616503503922
"ABCB9",-48.1103200249425,-0.10249912494248
"ABCC1",-32.146429104537,0.104593927504597
"ABCC10",-19.3877138712033,-0.0331836207465843
"ABCC11",-19.1958674002524,-0.00810297232205038
"ABCC12",-26.6019877607916,0.18985799341862
"ABCC13",-3.47605729653963,-0.143236520197907
"ABCC2",-12.2774401706944,-0.0402140725514014
"ABCC3",-14.6340899354229,-0.139282804301711
"ABCC4",1.77036217342268,0.169575191310693
"ABCC5",-37.6646103759544,0.0942441010375592
"ABCC5-AS1",-6.44761449921935,-0.0696513680379599
"ABCC6",-4.07825762702925,0.102026816870625
"ABCC6P1",3.28376459543198,0.117289688826485
"ABCC8",-71.3879833166947,0.0268709432073074
"ABCC9",28.8729904618274,0.226147190013777
"ABCD1",-23.6829874406328,-0.234209950819589
"ABCD2",-46.2285132563511,0.00162681668035754
"ABCD3",10.5355435544828,0.0988437488683303
"ABCD4",-12.4499095077667,0.0185669268342256
"ABCE1",-1.69205383816437,0.054080190453215
"ABCF1",-5.38247681457467,0.0035578347821448
"ABCF2",-10.4769211234916,-0.0389238106679967
"ABCF3",-14.1376938697124,0.0412308501259594
"ABCG1",-0.588758051665934,0.0669089012143129
"ABCG2",79.9523495156859,0.819708575548907
"ABCG4",-17.5699480898794,-0.0546494739623352
"ABCG5",-19.5035168875211,-0.0663162875260261
"ABCG8",-17.014019643484,0.00172248538795188
"ABHD1",-9.99964913057459,-0.0431943907262139
"ABHD10",-10.4055401551486,-0.0585570491824213
"ABHD11",-6.0018000180958,0.240634137758569
"ABHD12",-25.1657200317598,0.0230797660299877
"ABHD12B",-28.7956802708659,0.0835995245459799
"ABHD13",4.03430071127988,0.166841445061873
"ABHD14A",-7.22645581651893,0.0680543545304998
"ABHD14A-ACY1",-56.2678370089337,0.0900292145331634
"ABHD14B",-10.5347908263161,0.0696211707294417
"ABHD15",1.56012707999589,-0.0450654657722394
"ABHD15-AS1",-25.7707935426942,0.0905517644886754
"ABHD16A",1.43496339312358,-0.0739216353011318
"ABHD17A",13.5380104068718,0.0401031481944947
"ABHD17AP6",-14.5867571574901,0.0427368145475281
"ABHD17B",-11.4125226808288,-0.148898900187864
"ABHD17C",-11.6819170992384,-0.00870581396628761
"ABHD18",-41.8564020339601,0.0838090465265856
"ABHD2",-23.7067682335615,0.0787387526084557
"ABHD3",-0.808991565522165,0.0574863302924703
"ABHD4",10.9802156381469,-0.0208078629923889
"ABHD5",-5.50309725591001,0.0762178452842738
"ABHD6",-31.3645432851633,0.169241240091774
"ABHD8",-29.1431758351207,-0.0618531524981816
"ABI1",-17.9038696669492,-0.0514648055408719
"ABI1P1",-38.2227217352147,0.0822192522275156
"ABI2",-40.9623577702578,-0.0288667962631309
"ABI3",11.1491143032795,0.22020722740982
"ABI3BP",1.83125383089376,0.0337946695403936
"ABITRAM",-25.3309164937165,-0.13584634646121
"ABL1",1.94821984922992,0.103339660002081
"ABL2",-20.6825075874851,-0.0853409336744072
"ABLIM1",38.856080145755,0.2198974263649
"ABLIM2",-63.5074621946395,0.0137356241914373
"ABLIM3",18.4007305178088,0.295499736322265
"ABO",17.6903392315728,0.178127857079049
"ABR",-29.4326133626088,-0.00628708937973298
"ABRA",-22.6738940962032,0.0843923983612963
"ABRACL",-12.7352827955653,0.0475509871484842
"ABRAXAS1",-1.74332097977282,-0.0216655764336956
"ABRAXAS2",-16.6874369099293,-0.0161110675606035
"ABT1",7.8336444009503,0.118356230474764
"ABTB1",-6.75972344479953,0.0524903673038917
"ABTB2",-4.56747195512535,0.0935631703261049
"AC000035.1",0.534500848073897,-0.0288363803223516
"AC000099.1",-11.6604164331421,0.0248141515282251
"AC000372.1",-1.90302463227474,0.0377767124582393
"AC000403.1",-1.15495566597126,-0.0244397390879591
"AC001226.2",-17.1985840452512,0.119144362586923
"AC002056.1",-32.8782876734305,0.0537034994664914
"AC002056.2",-4.81199482615613,0.0951778606522067
"AC002064.1",-11.2320834970577,0.00431621360575423
"AC002066.1",3.66192091518171,0.0319346198125928
"AC002070.1",-1.10257334986286,-0.0258491033871311
"AC002075.2",9.9060684567478,-0.0751104977491132
"AC002101.1",-2.48581427322711,-0.107081475432542
"AC002116.2",-38.9616274671625,0.0588288482774623
"AC002127.2",-39.6882470297311,0.0157460350775582
"AC002128.2",-30.8285650813155,-0.0356987913891668
"AC002310.1",-6.39730908153642,-0.0831559301586273
"AC002310.2",-15.1501883767899,-0.0426549491499111
"AC002310.4",-7.88880656576014,-0.110313739963281
"AC002310.5",-1.07251960966235,0.0806193656215398
"AC002350.1",8.85704494627635,0.0499222119640933
"AC002351.1",-2.18036328002838,-0.0302819501881766
"AC002375.1",-8.13723676595727,-0.000852738758694111
"AC002383.1",-24.0137600791406,-0.037316792316345
"AC002398.1",-32.0681646388191,-0.00207250664513597
